Numero,Wiki Friendly Name,Sestiere,lat,long,street view html,Affordability,Affordability (Scaled),Resident Services,Resident Services (Scaled),Tourism,Tourism (Scaled),User Density,User Density (Scaled),Accessibility,Reachability,Reachability (Scaled),Green Space,Green Space (Scaled),TOTAL AVERAGE,Public Services Average,Island Usage Average,Mobility
#,Island of _____,,,,,,,,,,,,,,,,,,,,,
37,Island of Giardini Papadopoli,San Croce,45.438119,12.320677,https://www.google.com/maps/embed?pb=!4v1750590835024!6m8!1m7!1sh9i4xPkp6fBmlN0GLCWVIA!2m2!1d45.43816279096675!2d12.32085415074202!3f240.31115822410695!4f0.12015056731024742!5f0.7820865974627469,3596666.667,6.596164497,100,2.207505519,0,10,0.002903950468,9.830554779,2,0,0,0.5815776689,6.232691016,5.266702259,5.012120344,9.915277389,1
38,Island of Santa Marta,Dorsoduro,45.433562,12.313711,https://www.google.com/maps/embed?pb=!4v1750590873852!6m8!1m7!1s0gNL4q45VNF3zowGdj_4MA!2m2!1d45.43331039644463!2d12.31390595633377!3f253.48881437892888!4f0.24056961614417105!5f0.7820865974627469,0,10,6,0.1324503311,0.1649269311,9.764390098,0.0026924211,9.842897496,0,5.5,1.833333333,0.3399237933,3.642918368,5.030855661,4.591789567,9.803643797,0.9166666667
39,Island of Santa Maria Maggiore,San Croce,45.435967,12.317957,https://www.google.com/maps/embed?pb=!4v1750590893332!6m8!1m7!1sUVE_uM_f9Mr6-_KRswLvlA!2m2!1d45.43607333773418!2d12.31791238786541!3f77.96653373666622!4f0.3590281225449843!5f0.7820865974627469,4401250,5.760609942,10,0.2207505519,0.9071428571,8.704081633,0.007957369528,9.535688279,0,0,0,0.3437364474,3.683778079,3.986415498,3.221712858,9.119884956,0
40,Island of Malcanton,Dorsoduro,45.436317,12.321703,https://www.google.com/maps/embed?pb=!4v1750590920615!6m8!1m7!1sotXF8ygp3Iy2XcWMeaJrBA!2m2!1d45.4363005212602!2d12.32186624763767!3f209.67808100236292!4f-1.456389851116441!5f0.7820865974627469,3691666.667,6.497507616,105,2.317880795,0.4848484848,9.307359307,0.007170381933,9.581608927,0,0,0,0.1684168092,1.804900686,4.21560819,3.540096366,9.444484117,0
41,Island of San Pantalon,Dorsoduro,45.435499,12.325683,https://www.google.com/maps/embed?pb=!4v1750590947620!6m8!1m7!1sHlx0CWo4pKHe_9SjtKp3WA!2m2!1d45.43552758518295!2d12.32578285803706!3f19.582721474164813!4f-6.644895713412694!5f0.7820865974627469,4292500,5.873546109,30,0.6622516556,1.585858586,7.734487734,0.01172670999,9.315747638,0,0,0,0.09732697331,1.04304031,3.518439064,2.526279358,8.525117686,0
42,Island of Ca'Rizzi,San Croce,45.435556,12.319233,https://www.google.com/maps/embed?pb=!4v1750590978089!6m8!1m7!1shC1UrbehC6FrJPs2NFFQ7A!2m2!1d45.43535389592746!2d12.31928612851883!3f72.02098556225411!4f0.0235544921835924!5f0.7820865974627469,3782500,6.40317779,0,0,0.7142857143,8.979591837,0.01692273436,9.012560132,0,0,0,0.3432262131,3.678309965,4.010519961,3.360495918,8.996075985,0
43,Island of Ragusei,Dorsoduro,45.434899,12.321592,https://www.google.com/maps/embed?pb=!4v1750591017547!6m8!1m7!1sIJMkC5Wl83q-NhXnGjrNnw!2m2!1d45.43490096036785!2d12.32168888708303!3f93.6386863749345!4f-0.19307406900685464!5f0.7820865974627469,4572500,5.582767931,110,2.428256071,0.3043478261,9.565217391,0.00636686009,9.628494347,0,0,0,0.2534634072,2.716333838,4.274438511,3.575785946,9.596855869,0
44,Island of Cereri,Dorsoduro,45.43489,12.318939,https://www.google.com/maps/embed?pb=!4v1750591043247!6m8!1m7!1sXhllb5o-l47UsmmeCXz2mA!2m2!1d45.43480433114554!2d12.31900915217015!3f348.7140788022445!4f-0.5951278559366528!5f0.7820865974627469,3745000,6.442121296,15,0.3311258278,0.2235294118,9.680672269,0.01425340917,9.168314992,0,0,0,0.1116433812,1.196467361,3.831243107,2.656571495,9.42449363,0
45,Island of San Nicolò dei Mendicoli,Dorsoduro,45.433526,12.318236,https://www.google.com/maps/embed?pb=!4v1750591066094!6m8!1m7!1s8Eq251rsWUTYATvwUtSVog!2m2!1d45.4338259447417!2d12.31932052543116!3f335.81430836290787!4f-2.162674308157449!5f0.7820865974627469,3910000,6.27076987,111,2.450331126,0.6507936508,9.070294785,0.006911226207,9.596730638,0,0,0,0.2925821692,3.13556444,4.360527265,3.952221812,9.333512711,0
46,Island of San Sebastiano,Dorsoduro,45.431731,12.318426,https://www.google.com/maps/embed?pb=!4v1750591082047!6m8!1m7!1sgw3DuMSCl4SO4yZkidcJPQ!2m2!1d45.43146266002714!2d12.31834826237679!3f93.32156776053789!4f0!5f0.7820865974627469,5050833.333,5.086021878,101.5,2.240618102,0.2439759036,9.651462995,0.006920415225,9.59619446,0,0,0,0.1059149939,1.135076992,3.958482061,2.820572324,9.623828727,0
47,Island of Carmini,Dorsoduro,45.432828,12.323277,https://www.google.com/maps/embed?pb=!4v1750591098516!6m8!1m7!1sTaK6meF8QDo4J7NMNmHngw!2m2!1d45.43257203247763!2d12.32337302520942!3f78.86680714393455!4f-2.8566725485296303!5f0.7820865974627469,6481250,3.600543478,366.5,8.090507726,1.080357143,8.456632653,0.008219609963,9.520386576,0,22.79516129,7.598387097,0.1652096796,1.770530302,5.576712547,4.487193836,8.988509614,3.799193548
48,Island of San Barnaba,Dorsoduro,45.432709,12.324099,https://www.google.com/maps/embed?pb=!4v1750591116140!6m8!1m7!1slmVKyWaS3Q8TKZKFH6zOzw!2m2!1d45.43271486077396!2d12.32414901544669!3f75.58863574526829!4f-2.395555573633061!5f0.7820865974627469,7580000,2.459498754,25,0.5518763797,0.2146892655,9.693301049,0.01348031496,9.213424962,0,8.7,2.9,0.1088228257,1.166239841,3.712048712,1.392538325,9.453363006,1.45
49,Island of Romite,Dorsoduro,45.431584,12.323539,https://www.google.com/maps/embed?pb=!4v1750591132870!6m8!1m7!1s-VZdNlSKXCr-7m1lOFEnLA!2m2!1d45.43161382523631!2d12.32375538742556!3f189.69247156393317!4f-2.4142378367655084!5f0.7820865974627469,5551666.667,4.56590972,0.5,0.01103752759,1.063829787,8.480243161,0.004585854766,9.73241583,0,0,0,0.1879633568,2.014378454,3.543426385,2.197108567,9.106329496,0
50,Island of Cerchieri,Dorsoduro,45.432531,12.32634,https://www.google.com/maps/embed?pb=!4v1750591148306!6m8!1m7!1stRuibwHYoVJ5XVdg-lA82Q!2m2!1d45.43262029584063!2d12.32639831598325!3f77.45810405125636!4f-1.2778495693060279!5f0.7820865974627469,5882500,4.222341457,0,0,1.730769231,7.527472527,0.01591928251,9.071111448,0,0,0,0.185805906,1.991257339,3.258883253,2.071199599,8.299291988,0
51,Island of San Trovaso,Dorsoduro,45.431397,12.325676,https://www.google.com/maps/embed?pb=!4v1750591166876!6m8!1m7!1sEobB8ZRsRCrRLpAGCcUkHQ!2m2!1d45.43173277621276!2d12.32598538023612!3f88.58722113965315!4f-3.201906792546339!5f0.7820865974627469,5867500,4.237918859,110.5,2.439293598,2.748502994,6.073567151,0.006633796504,9.612918633,0,0,0,0.2858801849,3.063740159,3.6324912,3.246984206,7.843242892,0
52,Island of Accademia,Dorsoduro,45.430454,12.327885,https://www.google.com/maps/embed?pb=!4v1750591196611!6m8!1m7!1sTniYP5Ax1HuCRxpCR_gNpg!2m2!1d45.43040320669396!2d12.32820673691699!3f206.6162976394615!4f-2.0645401939590897!5f0.7820865974627469,4863750,5.280306702,223,4.922737307,3.558974359,4.915750916,0.008305457872,9.515377359,0,7.636842105,2.545614035,0.1235697973,1.324281187,4.072009644,3.842441732,7.215564137,1.272807018
53,Island of San Vio,Dorsoduro,45.430051,12.33029,https://www.google.com/maps/embed?pb=!4v1750591282675!6m8!1m7!1s3pBoTbIoTfsMFJR43lep9w!2m2!1d45.43053307281743!2d12.33049800271446!3f117.4233908355611!4f-2.7176163531848516!5f0.7820865974627469,5358750,4.766252423,0,0,1.96,7.2,0.007714445599,9.549862866,0,0,0,0.1559534359,1.671332362,3.312492522,2.145861595,8.374931433,0
54,Island of Spirito Santo,Dorsoduro,45.429379,12.331502,https://www.google.com/maps/embed?pb=!4v1750591306886!6m8!1m7!1swU3qm2mrYfq1lCO38k4Aaw!2m2!1d45.42952454885303!2d12.33158945068334!3f279.5782056136976!4f-4.281999943391384!5f0.7820865974627469,6077500,4.019835226,105,2.317880795,1.532663317,7.810480976,0.009352769679,9.454266819,0,6,2,0.136301536,1.460725548,3.866169909,2.599480523,8.632373898,1
55,Island of San Gregorio,Dorsoduro,45.429894,12.333566,https://www.google.com/maps/embed?pb=!4v1750591330732!6m8!1m7!1sOYCFilrHIWt94koStct9wQ!2m2!1d45.43009429978581!2d12.33351638894285!3f289.9625002254098!4f-5.596944463712404!5f0.7820865974627469,6458333.333,3.624342287,0,0,3.11827957,5.5453149,0.00547309833,9.680645256,0,0,0,0.09020033251,0.9666650427,2.830995355,1.530335777,7.612980078,0
56,Island of Salute,Dorsoduro,45.430537,12.335329,https://www.google.com/maps/embed?pb=!4v1750591362014!6m8!1m7!1sh1qFS5QgkVOCTAyrN_jLbg!2m2!1d45.43100849543985!2d12.33471347204081!3f178.47521400296677!4f23.07945259949102!5f0.7820865974627469,902500,9.394039047,1,0.02207505519,2.333333333,6.666666667,0.0001535076498,9.991042844,0,4.2,1.4,0.1541626902,1.652141177,4.160852113,3.689418426,8.328854755,0.7
57,Island of Gesuiti,Cannaregio,45.44369,12.337624,https://www.google.com/maps/embed?pb=!4v1750591382886!6m8!1m7!1sboCmCuddMB2fYSKDemuL5Q!2m2!1d45.4444082951272!2d12.33812967329617!3f128.00215911249396!4f-3.4503669136511235!5f0.7820865974627469,3786250,6.399283439,0.5,0.01103752759,0.5231958763,9.25257732,0.01177201989,9.313103809,0,3.783333333,1.261111111,0.1277667042,1.369258883,3.943767441,2.593193283,9.282840564,0.6305555556
58,Island of Racchetta,Cannaregio,45.442815,12.335157,https://www.google.com/maps/embed?pb=!4v1750591403364!6m8!1m7!1sjEzqzNUBysxf9aG1FSABEg!2m2!1d45.44288752564594!2d12.33528307214338!3f222.08698113424023!4f-0.7185652430981833!5f0.7820865974627469,3932500,6.247403766,5.5,0.1214128035,0.3518518519,9.497354497,0.02075927769,8.78869821,0,0,0,0.1192851102,1.278362761,3.704747434,2.549059777,9.143026354,0
59,Island of Sant'Andrea Maggiore,Cannaregio,45.44275,12.336369,https://www.google.com/maps/embed?pb=!4v1750591423934!6m8!1m7!1stxvr3c0mK-0L0nMiP_-xUQ!2m2!1d45.44265570053697!2d12.33578338742476!3f23.23425971210213!4f-0.7696179441707187!5f0.7820865974627469,4765833.333,5.381992523,5,0.1103752759,2.802197802,5.996860283,0.04853401651,7.168044961,0,0,0,0.07882806423,0.8447899465,2.786008998,2.112385915,6.582452622,0
60,Island of Sartori,Cannaregio,45.442385,12.338014,https://www.google.com/maps/embed?pb=!4v1750591443116!6m8!1m7!1sMqqBXsPhLFlro9kxNzAJtg!2m2!1d45.44240450479072!2d12.33812671542866!3f42.671013445732214!4f-2.4028277532562328!5f0.7820865974627469,3595000,6.59789532,0,0,0.6733333333,9.038095238,0.03074096754,8.2062676,0,0,0,0.1206957566,1.293480472,3.590819804,2.630458597,8.622181419,0
61,Island of Biri,Cannaregio,45.4417,12.340121,https://www.google.com/maps/embed?pb=!4v1750591467355!6m8!1m7!1s2eTOfGcDAZiT5yVaZxeiNQ!2m2!1d45.44178910539854!2d12.34012407193904!3f22.088798750336604!4f-1.9559426505894635!5f0.7820865974627469,3761666.667,6.424813071,10,0.2207505519,1.196138211,8.291231127,0.04188716112,7.555888313,0,10.525,3.508333333,0.08020112063,0.8595048104,3.837217315,2.501689478,7.92355972,1.754166667
62,Island of Corrente,Cannaregio,45.442202,12.33559,https://www.google.com/maps/embed?pb=!4v1750591486607!6m8!1m7!1sA-y6IRiZp12CzW2hCpKZBg!2m2!1d45.44234658226635!2d12.33559593341157!3f212.01362553299344!4f0.5914061046502468!5f0.7820865974627469,3407500,6.79261285,0,0,2.176100629,6.891284816,0.08369240968,5.116556215,0,0,0,0.03318351842,0.3556233814,2.736582466,2.38274541,6.003920515,0
63,Island of Do Pozzi,Cannaregio,45.441958,12.336312,https://www.google.com/maps/embed?pb=!4v1750591501878!6m8!1m7!1s-BU_pA6JvVrdiTuF93AwRg!2m2!1d45.44204088971462!2d12.33635052228506!3f205.748679393066!4f-1.3858517856293417!5f0.7820865974627469,3666041.667,6.524119011,0,0,0.3711340206,9.469808542,0.03986810552,7.673700006,0,0,0,0.01879908448,0.2014673039,3.409870695,2.241862105,8.571754274,0
64,Island of Santi Apostoli,Cannaregio,45.441142,12.336173,https://www.google.com/maps/embed?pb=!4v1750591518871!6m8!1m7!1s3qG818PZuaSplSXgCDTY3g!2m2!1d45.44133602376079!2d12.33631138948659!3f213.55362374868972!4f-0.6010439180627714!5f0.7820865974627469,5143333.333,4.98996123,112,2.472406181,1.555851064,7.777355623,0.03106174453,8.187550294,0,10.55,3.516666667,0.05664810664,0.6070902723,3.935861467,2.689819228,7.982452959,1.758333333
